date,state,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease
10/11/2020,WI,7,79,7571,2713
10/11/2020,WV,1,0,5721,215
10/11/2020,WY,0,0,0,156
10/10/2020,AK,0,0,5931,252
10/10/2020,AL,11,190,6867,1061
10/10/2020,AR,49,95,24422,2075
10/10/2020,AS,0,0,0,0
10/10/2020,AZ,13,30,11731,894
10/10/2020,CA,72,0,137778,4170
10/10/2020,CO,1,21,10031,834
10/10/2020,CT,0,0,0,0
10/10/2020,DC,2,0,6799,75
10/10/2020,DE,2,0,3107,171
10/10/2020,FL,0,0,0,0
10/10/2020,GA,45,101,18693,1237
10/10/2020,GU,1,0,254,67
10/10/2020,HI,2,11,0,165
10/10/2020,IA,18,0,4193,1084
10/10/2020,ID,3,16,3653,662
10/10/2020,IL,30,0,63351,2905
10/10/2020,IN,21,108,9285,1918
10/10/2020,KS,0,0,0,0
10/10/2020,KY,7,61,10104,989
10/10/2020,LA,0,0,0,0
10/10/2020,MA,10,15,14573,639
10/10/2020,MD,5,50,11799,636
10/10/2020,ME,0,2,0,30
10/10/2020,MI,19,0,43645,1648
10/10/2020,MN,10,51,16045,1516
10/10/2020,MO,27,0,42982,5066
10/10/2020,MP,0,0,0,2
10/10/2020,MS,16,0,0,957
10/10/2020,MT,3,17,1185,718
10/10/2020,NC,18,0,37209,2321
10/10/2020,ND,0,25,1402,588
10/10/2020,NE,5,18,8880,1085
10/10/2020,NH,6,3,4609,214
10/10/2020,NJ,7,47,34169,864
10/10/2020,NM,3,26,5623,485
10/10/2020,NV,2,0,3903,806
10/10/2020,NY,8,0,133132,1447
10/10/2020,OH,3,54,44539,1356
10/10/2020,OK,4,94,15635,1533
10/10/2020,OR,2,0,5518,409
10/10/2020,PA,36,0,19675,1742
10/10/2020,PR,8,0,0,472
10/10/2020,RI,2,32,5504,286
10/10/2020,SC,21,42,16798,945
10/10/2020,SD,9,47,1600,732
10/10/2020,TN,26,47,22814,1646
10/10/2020,TX,94,0,80371,4230
10/10/2020,UT,5,55,10492,1354
10/10/2020,VA,10,91,17689,1256
10/10/2020,VI,0,0,0,0
10/10/2020,VT,0,0,729,11
10/10/2020,WA,7,29,20833,642
10/10/2020,WI,17,120,11644,2971
10/10/2020,WV,5,0,10177,206
10/10/2020,WY,0,6,0,120
10/9/2020,AK,0,0,1719,180
10/9/2020,AL,16,0,10506,1490
10/9/2020,AR,0,0,0,0
10/9/2020,AS,0,0,0,0
10/9/2020,AZ,3,28,11699,683
10/9/2020,CA,67,0,109068,3806
10/9/2020,CO,7,63,9322,863
10/9/2020,CT,3,0,16991,290
10/9/2020,DC,0,0,5331,78
10/9/2020,DE,0,0,2720,145
10/9/2020,FL,118,196,25496,2908
10/9/2020,GA,54,124,27883,1625
10/9/2020,GU,0,0,369,55
10/9/2020,HI,1,6,0,101
10/9/2020,IA,16,0,4722,1042
10/9/2020,ID,3,25,1941,673
10/9/2020,IL,32,0,68781,3117
10/9/2020,IN,19,111,10229,1816
10/9/2020,KS,40,64,8936,1855
10/9/2020,KY,8,219,23846,1001
10/9/2020,LA,26,0,9615,257
10/9/2020,MA,12,16,18833,765
10/9/2020,MD,11,58,10334,734
10/9/2020,ME,1,1,8410,27
10/9/2020,MI,7,0,41853,1323
10/9/2020,MN,14,64,15593,1390
10/9/2020,MO,136,0,10472,2008
10/9/2020,MP,0,0,0,0
10/9/2020,MS,6,0,0,862
10/9/2020,MT,9,17,4359,722
10/9/2020,NC,25,0,40296,2034
10/9/2020,ND,0,21,1133,656
10/9/2020,NE,7,13,3674,663
10/9/2020,NH,0,0,0,0
10/9/2020,NJ,4,58,35456,865
10/9/2020,NM,3,27,8242,384
10/9/2020,NV,8,0,5270,766
10/9/2020,NY,6,0,137708,1592
10/9/2020,OH,11,101,46392,1840
10/9/2020,OK,6,102,15577,1524
10/9/2020,OR,3,14,5883,410
10/9/2020,PA,9,0,14662,1380
10/9/2020,PR,5,0,0,598
10/9/2020,RI,3,13,3498,249
10/9/2020,SC,16,44,21008,921
10/9/2020,SD,5,65,2088,804
10/9/2020,TN,27,39,25363,1556
10/9/2020,TX,98,0,38888,4036
10/9/2020,UT,4,53,7683,1343
10/9/2020,VA,16,88,28747,1114
10/9/2020,VI,0,0,68,2
10/9/2020,VT,0,0,1029,8
10/9/2020,WA,6,30,28284,710
10/9/2020,WI,16,138,11834,3164
10/9/2020,WV,6,0,7581,382
10/9/2020,WY,0,4,1326,243
10/8/2020,AK,1,0,962,135
10/8/2020,AL,36,74,3520,557
10/8/2020,AR,21,65,12903,1265
10/8/2020,AS,0,0,0,0
10/8/2020,AZ,10,121,11551,863
10/8/2020,CA,133,0,63342,3575
10/8/2020,CO,7,50,8715,731
10/8/2020,CT,5,146,26829,384
10/8/2020,DC,2,0,4092,68
10/8/2020,DE,2,0,2197,132
10/8/2020,FL,170,228,26741,3306
10/8/2020,GA,35,78,23669,1265
10/8/2020,GU,1,0,517,66
10/8/2020,HI,3,5,0,108
10/8/2020,IA,6,0,5719,1261
10/8/2020,ID,8,40,1999,671
10/8/2020,IL,32,0,69432,3059
10/8/2020,IN,15,107,9024,1450
10/8/2020,KS,0,0,0,0
10/8/2020,KY,11,135,18600,868
10/8/2020,LA,5,0,11776,524
10/8/2020,MA,8,23,13626,444
10/8/2020,MD,6,55,11634,761
10/8/2020,ME,0,0,6831,35
10/8/2020,MI,24,0,40804,1401
10/8/2020,MN,6,98,14147,1271
10/8/2020,MO,23,0,10619,1505
10/8/2020,MP,0,0,0,0
10/8/2020,MS,23,0,0,578
10/8/2020,MT,4,31,4875,614
10/8/2020,NC,29,0,31254,2428
10/8/2020,ND,8,21,1207,527
10/8/2020,NE,0,32,3497,639
10/8/2020,NH,1,2,2422,78
10/8/2020,NJ,8,124,59559,1298
10/8/2020,NM,2,16,3960,425
10/8/2020,NV,13,0,3209,480
10/8/2020,NY,10,0,143975,1836
10/8/2020,OH,13,109,29322,1539
10/8/2020,OK,10,93,13035,1212
10/8/2020,OR,11,22,5328,482
10/8/2020,PA,27,0,17561,1376
10/8/2020,PR,10,0,0,526
10/8/2020,RI,1,16,6695,269
10/8/2020,SC,12,83,18993,1050
10/8/2020,SD,14,20,1976,505
10/8/2020,TN,63,59,25318,1992
10/8/2020,TX,104,0,34428,4238
10/8/2020,UT,5,54,9081,1501
10/8/2020,VA,25,19,17984,1844
10/8/2020,VI,0,0,93,1
10/8/2020,VT,0,0,1370,11
10/8/2020,WA,12,30,25865,545
10/8/2020,WI,9,110,13524,3274
10/8/2020,WV,1,0,6129,186
10/8/2020,WY,1,8,904,193
10/7/2020,AK,1,0,10426,274
10/7/2020,AL,21,216,7233,941
10/7/2020,AR,35,82,9202,809
10/7/2020,AS,0,0,0,0
10/7/2020,AZ,20,63,6675,604
10/7/2020,CA,51,0,123521,2764
10/7/2020,CO,15,28,7316,654
10/7/2020,CT,1,0,7488,123
10/7/2020,DC,1,0,2582,45
10/7/2020,DE,3,0,1576,84
10/7/2020,FL,139,258,23551,2582
10/7/2020,GA,30,154,11903,1492
10/7/2020,GU,2,0,422,54
10/7/2020,HI,3,0,1166,83
10/7/2020,IA,15,0,4264,950
10/7/2020,ID,5,21,1295,660
10/7/2020,IL,42,0,56190,2630
10/7/2020,IN,16,106,7417,1281
10/7/2020,KS,17,85,7048,1244
10/7/2020,KY,5,57,13623,2393
10/7/2020,LA,12,0,21979,2156
10/7/2020,MA,19,32,15625,535
10/7/2020,MD,6,52,8217,460
10/7/2020,ME,0,2,6490,39
10/7/2020,MI,8,0,33459,1214
10/7/2020,MN,14,69,7494,911
10/7/2020,MO,36,0,6808,1068
10/7/2020,MP,0,0,0,0
10/7/2020,MS,38,0,0,1538
10/7/2020,MT,1,47,2740,716
10/7/2020,NC,23,0,16876,1711
10/7/2020,ND,9,27,1093,493
10/7/2020,NE,4,29,4483,498
10/7/2020,NH,2,2,1588,69
10/7/2020,NJ,5,62,22615,508
10/7/2020,NM,0,28,6023,315
10/7/2020,NV,7,0,1346,431
10/7/2020,NY,9,0,106886,1360
10/7/2020,OH,23,119,29473,1424
10/7/2020,OK,9,113,9556,1006
10/7/2020,OR,2,25,4876,294
10/7/2020,PA,28,0,15550,1309
10/7/2020,PR,9,0,0,31
10/7/2020,RI,1,24,3089,180
10/7/2020,SC,31,61,6725,735
10/7/2020,SD,10,27,6273,1030
10/7/2020,TN,21,59,20181,2080
10/7/2020,TX,119,0,24071,4121
10/7/2020,UT,8,55,4832,1007
10/7/2020,VA,12,154,15670,509
10/7/2020,VI,0,0,118,-1
10/7/2020,VT,0,0,574,6
10/7/2020,WA,7,51,9273,387
10/7/2020,WI,16,141,11188,2463
10/7/2020,WV,5,0,3589,203
10/7/2020,WY,0,1,1034,129
10/6/2020,AK,0,0,0,0
10/6/2020,AL,21,0,4702,764
10/6/2020,AR,0,72,7995,641
10/6/2020,AS,0,0,0,0
10/6/2020,AZ,6,-2316,7733,864
10/6/2020,CA,28,0,127063,1677
10/6/2020,CO,0,20,6341,461
10/6/2020,CT,4,0,17592,121
10/6/2020,DC,0,0,8356,105
10/6/2020,DE,1,0,1575,103
10/6/2020,FL,59,237,18644,2251
10/6/2020,GA,37,167,11099,936
10/6/2020,GU,0,0,586,61
10/6/2020,HI,1,0,866,50
10/6/2020,IA,11,0,2355,474
10/6/2020,ID,5,8,1369,458
10/6/2020,IL,31,0,47896,1617
10/6/2020,IN,30,85,6074,970
10/6/2020,KS,0,0,0,0
10/6/2020,KY,4,65,11440,1036
10/6/2020,LA,6,0,12228,532
10/6/2020,MA,8,20,12331,495
10/6/2020,MD,6,46,6497,413
10/6/2020,ME,0,3,2518,20
10/6/2020,MI,22,0,24983,1152
10/6/2020,MN,4,80,7618,941
10/6/2020,MO,26,0,7306,1165
10/6/2020,MP,0,0,0,0
10/6/2020,MS,0,0,0,0
10/6/2020,MT,2,19,2245,500
10/6/2020,NC,33,0,21266,1504
10/6/2020,ND,26,29,933,502
10/6/2020,NE,2,10,3609,452
10/6/2020,NH,2,0,1761,51
10/6/2020,NJ,9,0,0,629
10/6/2020,NM,2,20,6496,155
10/6/2020,NV,6,0,1689,479
10/6/2020,NY,9,0,94966,1393
10/6/2020,OH,16,132,38451,1335
10/6/2020,OK,11,142,29641,1364
10/6/2020,OR,9,23,4095,291
10/6/2020,PA,17,0,11040,1036
10/6/2020,PR,1,0,0,432
10/6/2020,RI,4,14,2643,177
10/6/2020,SC,15,48,13219,811
10/6/2020,SD,0,28,756,278
10/6/2020,TN,24,53,23942,1676
10/6/2020,TX,78,0,60439,4132
10/6/2020,UT,6,39,8705,716
10/6/2020,VA,15,220,13629,625
10/6/2020,VI,0,0,0,0
10/6/2020,VT,0,0,-69,4
10/6/2020,WA,16,-6,15106,402
10/6/2020,WI,18,108,9539,2075
10/6/2020,WV,3,0,2828,194
10/6/2020,WY,0,10,379,141
10/5/2020,AK,0,0,2345,211
10/5/2020,AL,1,279,4518,544
10/5/2020,AR,22,36,6409,417
10/5/2020,AS,0,0,0,0
10/5/2020,AZ,1,9,6436,316
10/5/2020,CA,29,0,138339,3055
10/5/2020,CO,0,7,7903,521
10/5/2020,CT,4,0,49488,823
10/5/2020,DC,0,0,1715,28
10/5/2020,DE,0,0,1626,120
10/5/2020,FL,41,67,14394,1415
10/5/2020,GA,30,29,13350,789
10/5/2020,GU,3,0,555,54
10/5/2020,HI,3,4,1893,70
10/5/2020,IA,7,0,2083,364
10/5/2020,ID,2,3,1569,262
10/5/2020,IL,14,0,36685,1853
10/5/2020,IN,7,91,6282,830
10/5/2020,KS,8,53,8392,1597
10/5/2020,KY,5,195,18265,541
10/5/2020,LA,9,0,7132,218
10/5/2020,MA,20,6,10800,515
10/5/2020,MD,3,40,7969,501
10/5/2020,ME,0,0,17315,26
10/5/2020,MI,15,0,53098,1455
10/5/2020,MN,3,53,12985,973
10/5/2020,MO,1,0,6936,987
10/5/2020,MP,0,0,9,2
10/5/2020,MS,0,78,65812,215
10/5/2020,MT,3,10,12350,212
10/5/2020,NC,3,0,30690,2258
10/5/2020,ND,0,14,748,312
10/5/2020,NE,4,9,3195,404
10/5/2020,NH,1,0,2012,35
10/5/2020,NJ,2,17,23453,511
10/5/2020,NM,2,12,6252,181
10/5/2020,NV,0,0,2838,337
10/5/2020,NY,8,0,75471,933
10/5/2020,OH,6,73,30454,1057
10/5/2020,OK,3,104,0,665
10/5/2020,OR,0,39,3297,279
10/5/2020,PA,11,0,9317,672
10/5/2020,PR,9,0,0,630
10/5/2020,RI,1,0,641,50
10/5/2020,SC,3,24,10443,577
10/5/2020,SD,0,10,488,180
10/5/2020,TN,20,40,41787,2489
10/5/2020,TX,8,0,30383,3409
10/5/2020,UT,4,39,4181,1105
10/5/2020,VA,3,93,24597,687
10/5/2020,VI,0,0,243,-5
10/5/2020,VT,0,0,954,32
10/5/2020,WA,0,17,12488,455
10/5/2020,WI,4,56,6864,1727
10/5/2020,WV,3,0,6338,114
10/5/2020,WY,0,12,2469,125
10/4/2020,AK,0,0,3373,189
10/4/2020,AL,0,0,5754,789
10/4/2020,AR,18,23,7150,488
10/4/2020,AS,0,0,0,0
10/4/2020,AZ,1,14,7647,355
10/4/2020,CA,46,0,157106,4293
10/4/2020,CO,0,13,8817,657
10/4/2020,CT,0,0,0,0
10/4/2020,DC,2,0,2230,46
10/4/2020,DE,0,0,1513,118
10/4/2020,FL,42,64,18547,1868
10/4/2020,GA,28,34,16390,847
10/4/2020,GU,1,0,0,0
10/4/2020,HI,11,5,1803,133
10/4/2020,IA,5,0,3632,626
10/4/2020,ID,6,7,1571,464
10/4/2020,IL,17,0,50203,1453
10/4/2020,IN,5,80,8501,1087
10/4/2020,KS,0,0,0,0
10/4/2020,KY,4,0,0,616
10/4/2020,LA,32,0,25328,893
10/4/2020,MA,3,4,18355,644
10/4/2020,MD,1,35,9651,471
10/4/2020,ME,0,0,0,33
10/4/2020,MI,0,0,0,0
10/4/2020,MN,7,41,16648,1039
10/4/2020,MO,4,0,9863,1326
10/4/2020,MP,0,0,0,0
10/4/2020,MS,2,0,0,321
10/4/2020,MT,1,3,2351,279
10/4/2020,NC,5,0,24092,610
10/4/2020,ND,0,13,1170,416
10/4/2020,NE,4,9,2959,426
10/4/2020,NH,1,0,0,48
10/4/2020,NJ,1,49,60394,626
10/4/2020,NM,3,15,5815,296
10/4/2020,NV,3,0,2787,392
10/4/2020,NY,14,0,109107,1222
10/4/2020,OH,0,32,36959,941
10/4/2020,OK,1,0,0,569
10/4/2020,OR,1,0,3274,259
10/4/2020,PA,17,0,26664,2251
10/4/2020,PR,5,0,0,300
10/4/2020,RI,1,7,1833,124
10/4/2020,SC,11,43,37637,691
10/4/2020,SD,0,17,1324,432
10/4/2020,TN,17,24,31811,1615
10/4/2020,TX,33,0,62062,2884
10/4/2020,UT,2,24,6821,1393
10/4/2020,VA,3,9,0,1067
10/4/2020,VI,0,0,227,1
10/4/2020,VT,0,0,727,7
10/4/2020,WA,-1,25,16588,609
10/4/2020,WI,5,58,8950,1926
10/4/2020,WV,1,0,7214,160
10/4/2020,WY,0,1,0,139
10/3/2020,AK,1,0,3819,147
10/3/2020,AL,8,0,9707,1682
10/3/2020,AR,16,39,9936,746
10/3/2020,AS,0,0,0,0
10/3/2020,AZ,12,40,9040,636
10/3/2020,CA,88,0,128298,2159
10/3/2020,CO,6,74,10033,680
10/3/2020,CT,0,0,0,0
10/3/2020,DC,0,0,3381,50
10/3/2020,DE,3,0,1987,188
10/3/2020,FL,73,160,22151,2787
10/3/2020,GA,28,133,29924,1444
10/3/2020,GU,1,0,556,82
10/3/2020,HI,3,18,1660,94
10/3/2020,IA,5,0,4406,911
10/3/2020,ID,2,20,2552,677
10/3/2020,IL,31,0,69192,2442
10/3/2020,IN,13,85,8534,1419
10/3/2020,KS,0,0,0,0
10/3/2020,KY,8,28,10982,1274
10/3/2020,LA,0,0,0,0
10/3/2020,MA,17,12,13213,672
10/3/2020,MD,7,96,9343,597
10/3/2020,ME,0,2,0,18
10/3/2020,MI,14,0,39251,1275
10/3/2020,MN,14,53,14061,1421
10/3/2020,MO,25,0,11659,1708
10/3/2020,MP,0,0,0,0
10/3/2020,MS,12,0,0,609
10/3/2020,MT,0,12,920,501
10/3/2020,NC,21,0,34360,2202
10/3/2020,ND,0,10,1254,440
10/3/2020,NE,0,23,4912,792
10/3/2020,NH,0,0,1632,63
10/3/2020,NJ,4,0,0,947
10/3/2020,NM,5,16,6673,339
10/3/2020,NV,11,0,3049,526
10/3/2020,NY,8,0,132536,1731
10/3/2020,OH,20,47,45870,1157
10/3/2020,OK,7,1,16473,1189
10/3/2020,OR,8,0,4262,348
10/3/2020,PA,20,0,0,0
10/3/2020,PR,8,0,0,628
10/3/2020,RI,1,28,2535,169
10/3/2020,SC,33,0,0,1706
10/3/2020,SD,11,27,1294,464
10/3/2020,TN,45,32,16756,1192
10/3/2020,TX,97,0,97191,7006
10/3/2020,UT,2,40,6029,1068
10/3/2020,VA,20,74,18444,1116
10/3/2020,VI,0,0,0,0
10/3/2020,VT,0,0,917,10
10/3/2020,WA,11,13,20361,694
10/3/2020,WI,20,82,11192,3054
10/3/2020,WV,2,0,6045,161
10/3/2020,WY,0,1,0,151
10/2/2020,AK,0,0,6839,128
10/2/2020,AL,2,163,6042,954
10/2/2020,AR,7,43,10866,958
10/2/2020,AS,0,0,45,0
10/2/2020,AZ,19,14,6657,551
10/2/2020,CA,98,0,92990,3590
10/2/2020,CO,2,11,10142,682
10/2/2020,CT,2,0,71475,555
10/2/2020,DC,1,0,3873,65
10/2/2020,DE,6,0,1916,150
10/2/2020,FL,111,170,23026,2660
10/2/2020,GA,43,123,14321,1300
10/2/2020,GU,1,0,503,67
10/2/2020,HI,3,15,1712,105
10/2/2020,IA,12,0,4124,925
10/2/2020,ID,3,14,1783,513
10/2/2020,IL,52,0,70485,2456
10/2/2020,IN,11,72,9327,1464
10/2/2020,KS,20,66,8305,1362
10/2/2020,KY,6,19,21986,999
10/2/2020,LA,26,0,21887,817
10/2/2020,MA,10,18,20698,761
10/2/2020,MD,1,32,10873,712
10/2/2020,ME,0,1,6862,37
10/2/2020,MI,8,0,39183,984
10/2/2020,MN,10,35,16309,1166
10/2/2020,MO,16,0,9286,1485
10/2/2020,MP,0,0,0,3
10/2/2020,MS,20,0,0,672
10/2/2020,MT,5,2,4298,355
10/2/2020,NC,29,0,34268,1775
10/2/2020,ND,0,18,936,476
10/2/2020,NE,15,7,4101,621
10/2/2020,NH,1,5,1818,217
10/2/2020,NJ,4,34,57741,740
10/2/2020,NM,5,23,7154,226
10/2/2020,NV,6,0,4306,772
10/2/2020,NY,7,0,117895,1598
10/2/2020,OH,88,82,30056,1495
10/2/2020,OK,9,59,13529,1190
10/2/2020,OR,3,5,5047,301
10/2/2020,PA,19,0,15332,1161
10/2/2020,PR,8,0,0,680
10/2/2020,RI,1,7,2248,162
10/2/2020,SC,9,56,20736,862
10/2/2020,SD,1,10,872,386
10/2/2020,TN,14,45,15311,971
10/2/2020,TX,72,0,82910,3503
10/2/2020,UT,15,34,8258,1107
10/2/2020,VA,22,16,19265,966
10/2/2020,VI,0,0,237,3
10/2/2020,VT,0,0,1002,13
10/2/2020,WA,6,40,16021,594
10/2/2020,WI,5,97,10850,2825
10/2/2020,WV,1,0,9628,283
10/2/2020,WY,0,6,1852,131
10/1/2020,AK,1,0,4984,132
10/1/2020,AL,8,0,6095,1043
10/1/2020,AR,15,91,11978,1124
10/1/2020,AS,0,0,0,0
10/1/2020,AZ,24,107,13119,705
10/1/2020,CA,96,0,63587,3062
10/1/2020,CO,8,10,8721,511
10/1/2020,CT,3,139,10195,192
10/1/2020,DC,1,0,2288,32
10/1/2020,DE,0,0,1481,174
10/1/2020,FL,131,213,22023,2628
10/1/2020,GA,42,146,19405,1308
10/1/2020,GU,0,0,372,62
10/1/2020,HI,4,15,1842,120
10/1/2020,IA,16,0,5038,1038
10/1/2020,ID,5,12,1963,614
10/1/2020,IL,24,0,63449,2166
10/1/2020,IN,13,97,6724,1157
10/1/2020,KS,0,0,0,0
10/1/2020,KY,17,36,23118,888
10/1/2020,LA,8,0,15590,551
10/1/2020,MA,24,29,17451,754
10/1/2020,MD,0,12,9408,785
10/1/2020,ME,1,2,7251,40
10/1/2020,MI,19,0,34721,998
10/1/2020,MN,13,57,13808,1066
10/1/2020,MO,10,0,9234,1799
10/1/2020,MP,0,0,0,0
10/1/2020,MS,10,131,0,696
10/1/2020,MT,1,10,5122,429
10/1/2020,NC,47,0,26513,2277
10/1/2020,ND,0,25,1036,372
10/1/2020,NE,0,34,3384,520
10/1/2020,NH,2,0,2070,51
10/1/2020,NJ,5,38,0,614
10/1/2020,NM,2,20,5745,278
10/1/2020,NV,3,0,3031,430
10/1/2020,NY,11,0,107836,1382
10/1/2020,OH,13,90,72935,1327
10/1/2020,OK,4,61,10243,1170
10/1/2020,OR,1,15,5719,353
10/1/2020,PA,18,0,10512,1156
10/1/2020,PR,4,0,0,312
10/1/2020,RI,3,11,2732,166
10/1/2020,SC,22,0,6975,381
10/1/2020,SD,13,29,3487,747
10/1/2020,TN,47,49,17083,1293
10/1/2020,TX,112,0,41638,3534
10/1/2020,UT,0,35,5240,1008
10/1/2020,VA,20,85,23872,450
10/1/2020,VI,0,0,205,5
10/1/2020,VT,0,0,1114,3
10/1/2020,WA,2,50,13210,480
10/1/2020,WI,21,109,11474,3000
10/1/2020,WV,4,0,4844,176
